Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
1;1000001;Свободная форма с печатью работодателя;Другое;1;0.35;женский;0;0;Высшее/Второе высшее/Ученая степень;специалист;< 50;0;108;49;Торговля;ООО;женат / замужем;3;3;2;2;2;;;;;;;;;;;;;;;;;;;;;
1;1000021;Поступление зарплаты на счет;Лечение;1;0.16;женский;0;0;высшее;менеджер среднего звена;>250;0;95;35;Торговля;ООО;холост / не замужем;0;0;0;0;0;0.0273972603;0;0;0;0;0;0;3;71;3;0;3;26;78;1;0;0;0;0;0;0
1;1000041;Поступление зарплаты на счет;Ремонт;1;0.15;мужской;0;0;среднее;специалист;>250;0;88;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000061;2НДФЛ;Отпуск;1;0.43;женский;1;0;высшее;менеджер среднего звена;>250;1;122;32;Другое;Иная форма;женат / замужем;1;1;0;0;0;0.0900900901;1;1;0;0;0.5;4;4;101;8;2;2;3;41;1;0;0;0;0;0;0
1;1000081;2НДФЛ;Ремонт;1;0.29;мужской;0;0;высшее;менеджер высшего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000101;2НДФЛ;Покупка автомобиля;0;0.56;женский;1;0;высшее;специалист;>250;0;7;26;Торговля;ЗАО;женат / замужем;1;0;0;0;0;0;0;3;0;0;0.8333333333;5;1;45;6;2;0;4;47;0;0;0;0;0;0;0
1;1000121;2НДФЛ;Ремонт;1;0.56;женский;0;0;второе высшее;менеджер среднего звена;>250;3;99;33;Другое;ЗАО;холост / не замужем;0;0;0;0;0;0.2222222222;0;1;0;0;0.5;1;1;7;2;0;1;4;4;1;0;0;0;0;0;0
1;1000141;Свободная форма с печатью работодателя;Ремонт;1;0.49;женский;0;2;высшее;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000161;Поступление зарплаты на счет;Покупка бытовой техники;1;0.41;женский;0;0;высшее;вспомогательный персонал;>250;0;43;31;Торговля;ООО;холост / не замужем;0;0;0;0;0;0;0;0;0;0;0.5;1;1;53;2;0;1;27;29;0;0;0;0;0;0;0
1;1000181;Поступление зарплаты на счет;Ремонт;0;0.47;мужской;0;0;высшее;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
